TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionAmount_Binned,CustomerAge_Binned,Target
177.19,2023-05-15 17:25:28,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,2024-11-04 8:06:30,0,4,2
260.88,2023-05-29 16:50:10,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,2024-11-04 8:06:52,1,0,2
169.47,2023-03-22 16:10:14,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,2024-11-04 8:07:37,0,0,0
73.23,2023-05-19 16:52:53,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,2024-11-04 8:11:12,0,0,2
792.57,2023-05-22 16:22:36,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,2024-11-04 8:10:39,4,0,2
237.06,2023-12-18 16:47:17,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,2024-11-04 8:07:50,1,4,1
740.25,2023-07-19 17:03:58,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,2024-11-04 8:08:27,4,1,2
453.54,2023-04-19 16:36:03,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2024-11-04 8:12:06,2,3,0
300.47,2023-11-13 16:11:52,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,2024-11-04 8:08:00,1,4,1
201.69,2023-01-03 16:46:36,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,2024-11-04 8:10:16,1,3,0
399.21,2023-01-30 16:15:49,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2024-11-04 8:08:21,2,3,0
630.36,2023-03-02 16:11:53,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,2024-11-04 8:12:15,3,3,0
215.9,2023-01-04 16:02:09,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,2024-11-04 8:10:23,1,1,0
488.54,2023-07-03 17:47:49,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,2024-11-04 8:07:26,2,2,2
20.36,2023-07-24 17:02:18,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,2024-11-04 8:11:15,0,3,2
113.64,2023-10-24 17:09:41,Debit,Detroit,Online,44.67844382691544,Retired,32.0,1.0,6675.03,2024-11-04 8:07:55,0,2,1
493.11,2023-07-31 16:25:26,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,2024-11-04 8:08:01,2,2,2
307.41,2023-06-12 17:32:52,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,2024-11-04 8:09:48,1,0,2
11.18,2023-11-30 16:52:42,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,2024-11-04 8:10:20,0,2,1
313.82,2023-11-15 18:57:38,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,2024-11-04 8:08:42,1,3,1
140.98,2023-05-25 16:34:22,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,2024-11-04 8:12:13,0,3,2
288.04,2023-08-24 16:47:21,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,2024-11-04 8:10:00,1,4,2
800.55,2023-05-04 16:21:31,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,2024-11-04 8:06:49,4,1,0
485.54,2023-02-06 17:46:59,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,2024-11-04 8:11:46,2,2,0
521.15,2023-02-17 18:16:05,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,2024-11-04 8:07:31,2,2,0
304.93,2023-02-24 16:23:22,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,2024-11-04 8:08:15,1,3,0
694.2,2023-12-07 16:20:08,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,2024-11-04 8:07:23,3,3,1
116.86,2023-03-20 18:28:48,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,2024-11-04 8:12:15,0,2,0
74.88,2023-05-24 16:25:50,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,2024-11-04 8:07:46,0,0,2
297.65646754281164,2023-05-22 16:17:19,Debit,Philadelphia,Branch,75.0,Retired,99.0,1.0,7323.53,2024-11-04 8:09:48,1,4,2
361.27,2023-01-06 17:01:53,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,2024-11-04 8:10:07,2,3,0
131.56,2023-10-19 16:42:37,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,2024-11-04 8:07:12,0,2,1
547.87,2023-07-10 17:15:27,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,2024-11-04 8:10:31,3,3,2
457.3,2023-06-26 18:25:21,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,2024-11-04 8:07:53,2,0,2
506.24,2023-01-13 16:44:26,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,2024-11-04 8:11:40,2,3,0
486.59,2023-12-19 16:55:17,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,2024-11-04 8:10:02,2,3,1
163.68,2023-09-28 16:20:57,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,2024-11-04 8:11:01,0,1,1
581.65,2023-01-09 16:54:58,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,2024-11-04 8:09:39,3,0,0
52.01,2023-11-07 16:46:04,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,2024-11-04 8:11:27,0,2,1
630.24,2023-11-29 18:10:30,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,2024-11-04 8:11:52,3,0,1
523.74,2023-11-02 16:36:37,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,2024-11-04 8:06:52,2,2,1
91.48,2023-01-23 16:50:31,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,2024-11-04 8:09:17,0,2,0
5.25,2023-11-13 18:26:24,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,2024-11-04 8:12:22,0,1,1
736.73,2023-11-27 16:05:27,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,2024-11-04 8:10:54,4,2,1
177.08,2023-01-06 17:16:44,Debit,Las Vegas,nan,35.0,Doctor,85.0,1.0,13475.14,2024-11-04 8:12:21,0,1,0
588.54,2023-02-06 17:57:28,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,2024-11-04 8:10:37,3,1,0
173.5,2023-10-23 17:16:20,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,2024-11-04 8:11:52,0,0,1
40.66,2024-01-01 16:08:49,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,2024-11-04 8:11:28,0,3,1
34.07,2023-11-06 17:22:58,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,2024-11-04 8:07:21,0,0,1
492.06000000000006,2023-10-19 16:14:15,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,2024-11-04 8:09:56,2,0,1
73.55,2023-01-09 16:09:48,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,2024-11-04 8:11:21,0,2,0
760.53,2023-09-04 18:13:25,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,2024-11-04 8:09:35,4,3,2
371.69,2023-12-22 16:27:49,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,2024-11-04 8:09:59,2,3,1
218.96,2023-08-30 16:11:47,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,2024-11-04 8:10:35,1,0,2
227.39,2023-12-25 16:58:19,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,2024-11-04 8:11:36,1,0,1
186.6,2023-07-04 16:27:23,Debit,nan,Online,58.0,Doctor,13.0,1.0,1508.72,2024-11-04 8:06:24,1,3,2
341.15,2023-02-13 17:18:15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,2024-11-04 8:10:09,1,0,0
434.58,2023-09-06 16:28:38,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,2024-11-04 8:08:15,2,3,2
75.15,2023-09-18 17:31:23,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,2024-11-04 8:11:00,0,0,1
23.3,2023-08-14 18:13:38,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,2024-11-04 8:08:06,0,3,2
512.81,2023-07-19 16:57:01,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,2024-11-04 8:11:58,2,4,2
488.15000000000003,2023-07-31 16:01:00,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,2024-11-04 8:11:13,2,2,2
12.82,2023-04-05 18:37:10,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,2024-11-04 8:08:25,0,2,0
535.91,2023-07-07 16:38:12,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,2024-11-04 8:10:49,2,2,2
97.98,2023-02-06 16:09:48,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,2024-11-04 8:08:43,0,4,0
196.08,2023-08-25 16:52:28,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,2024-11-04 8:06:31,1,3,2
251.18000000000004,2023-06-01 16:51:11,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,2024-11-04 8:07:55,1,1,2
44.52,2023-03-28 18:30:25,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,2024-11-04 8:10:28,0,0,0
178.87,2023-05-23 16:03:54,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,2024-11-04 8:10:16,0,1,2
386.68,2023-10-31 16:48:01,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,2024-11-04 8:06:28,2,2,1
167.14,2023-04-24 18:33:29,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.7299999999996,2024-11-04 8:06:26,0,4,0
345.22,2023-09-05 16:55:47,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,2024-11-04 8:07:36,1,4,2
74.85,2023-12-25 17:19:08,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,2024-11-04 8:11:49,0,4,1
671.73,2023-10-16 16:15:54,Debit,Washington,Branch,58.0,Engineer,53.99999999999999,1.0,5211.88,2024-11-04 8:12:04,3,3,1
255.03999999999996,2023-11-23 16:15:59,Debit,Seattle,ATM,45.0,Engineer,151.99999999999997,1.0,6217.86,2024-11-04 8:11:38,1,2,1
45.77,2023-02-09 17:50:23,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,2024-11-04 8:08:01,0,0,0
11.92,2023-10-09 17:48:55,Debit,San Diego,nan,53.0,Doctor,52.00000000000001,1.0,14611.9,2024-11-04 8:11:22,0,2,1
47.42,2023-12-19 16:46:08,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,2024-11-04 8:08:56,0,3,1
35.99,2023-01-19 16:14:12,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,2024-11-04 8:09:17,0,3,0
48.72,2023-09-29 18:54:28,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,2024-11-04 8:07:27,0,0,1
43.46,2023-07-21 17:02:42,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,2024-11-04 8:10:45,0,0,2
443.79,2023-10-09 18:28:04,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,2024-11-04 8:11:16,2,2,1
365.14,2023-12-01 18:46:28,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,2024-11-04 8:07:25,2,4,1
757.41,2023-05-05 16:31:53,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,2024-11-04 8:09:03,4,0,0
20.54,2023-08-21 18:09:24,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,2024-11-04 8:07:28,0,2,2
475.36,2023-10-02 16:03:09,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,2024-11-04 8:06:59,2,1,1
